,Startpunkt,Startzeit,Endpunkt,Endzeit
0,X: 147 Y: 37,"04/05/2021, 14:28:30:335342",X: 142 Y: 93,"04/05/2021, 14:28:30:830370"
1,X: 142 Y: 93,"04/05/2021, 14:28:31:404403",X: 142 Y: 102,"04/05/2021, 14:28:31:867430"
2,X: 142 Y: 102,"04/05/2021, 14:28:32:334456",X: 126 Y: 117,"04/05/2021, 14:28:32:879488"
3,X: 126 Y: 134,"04/05/2021, 14:28:33:423519",X: 126 Y: 134,"04/05/2021, 14:28:33:884545"
4,X: 126 Y: 136,"04/05/2021, 14:28:34:429576",X: 126 Y: 155,"04/05/2021, 14:28:34:890603"
5,X: 127 Y: 157,"04/05/2021, 14:28:35:401632",X: 127 Y: 187,"04/05/2021, 14:28:35:864658"
6,X: 140 Y: 187,"04/05/2021, 14:28:36:426691",X: 140 Y: 198,"04/05/2021, 14:28:37:184734"
7,X: 160 Y: 180,"04/05/2021, 14:28:37:931777",X: 160 Y: 192,"04/05/2021, 14:28:38:376802"
8,X: 160 Y: 192,"04/05/2021, 14:28:39:448863",X: 161 Y: 193,"04/05/2021, 14:28:40:043897"
